cluster	status	loglr	df	p	p.adjust	genes
chr14:clu_15810_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FNTB,CHURC1-FNTB
chr14:clu_15811_NA	Success	0.0360362012495443	2	0.964605372931226	0.984425756687452	MAX
chr14:clu_15812_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FUT8
chr14:clu_15813_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FUT8
chr14:clu_15814_NA	Success	0.794459928265269	2	0.451825187053404	0.783938198357573	FUT8
chr14:clu_15815_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15816_NA	Success	1.76471021216679	2	0.17123640152144	0.601074911460112	GPHN
chr14:clu_15817_NA	Success	0.114313981831856	2	0.891977847071772	0.957682898078717	GPHN
chr14:clu_15818_NA	Success	7.29441170754762	5	0.0122715890183661	0.261968567876537	GPHN
chr14:clu_15819_NA	Success	0.00240518725001948	1	0.944705564218144	0.978177516859818	GPHN
chr14:clu_15820_NA	Not enough valid samples	NA	NA	NA	NA	GPHN
chr14:clu_15821_NA	Not enough valid samples	NA	NA	NA	NA	GPHN
chr14:clu_15822_NA	Success	2.51206055529929	3	0.170039374991146	0.600683187588787	GPHN
chr14:clu_15823_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GPHN
chr14:clu_15824_NA	Not enough valid samples	NA	NA	NA	NA	MPP5
chr14:clu_15825_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MPP5
chr14:clu_15826_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15827_NA	Success	0.00253523837466219	1	0.943232787388924	0.978026880561277	ATP6V1D
chr14:clu_15828_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHH1
chr14:clu_15829_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHH1
chr14:clu_15830_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHH1
chr14:clu_15831_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHH1
chr14:clu_15832_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHH1
chr14:clu_15833_NA	Success	5.14991277513201	3	0.0161821322165074	0.290987384807516	PLEKHH1
chr14:clu_15834_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIGH
chr14:clu_15835_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PIGH
chr14:clu_15836_NA	Success	0.911815379895302	2	0.401794152529021	0.757601520805048	VTI1B
chr14:clu_15837_NA	Not enough valid samples	NA	NA	NA	NA	VTI1B
chr14:clu_15838_NA	Not enough valid samples	NA	NA	NA	NA	RDH11
chr14:clu_15839_NA	Success	0.00779286316111438	1	0.900647997824638	0.961193761140623	RDH11
chr14:clu_15840_NA	Success	0.130010027250535	1	0.610106377424417	0.851274242309258	ZFYVE26
chr14:clu_15841_NA	Success	1.91014494372598	2	0.148058924827896	0.577552616494587	ZFYVE26
chr14:clu_15842_NA	Success	1.09788252626817	2	0.333576676247103	0.721275570588199	ZFYVE26
chr14:clu_15843_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RAD51B
chr14:clu_15844_NA	Success	2.43208710360136	4	0.301520116857951	0.700880303916561	ACTN1
chr14:clu_15845_NA	Success	3.21022708618671	2	0.0403474498830938	0.402060296246308	ACTN1
chr14:clu_15846_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACTN1
chr14:clu_15847_NA	Success	3.52861466026479	2	0.02934554126492	0.362347462018071	ACTN1
chr14:clu_15848_NA	Success	0.484427663064253	3	0.808787437419391	0.926532894988414	ACTN1
chr14:clu_15849_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DCAF5
chr14:clu_15850_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EXD2
chr14:clu_15851_NA	Not enough valid samples	NA	NA	NA	NA	EXD2
chr14:clu_15852_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15853_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GALNT16
chr14:clu_15854_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ERH
chr14:clu_15855_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC39A9
chr14:clu_15856_NA	Success	3.84641504567207	3	0.0528054319012407	0.439703738036436	SRSF5
chr14:clu_15857_NA	Success	1.23173284820791	1	0.116521433537014	0.540240498142849	SRSF5
chr14:clu_15858_NA	Success	0.0992237469809538	1	0.655976913202353	0.871257607389658	SRSF5
chr14:clu_15859_NA	Success	0.325754572317464	1	0.419573637220632	0.766849634514702	SRSF5
chr14:clu_15860_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC8A3
chr14:clu_15861_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SLC8A3
chr14:clu_15862_NA	Not enough valid samples	NA	NA	NA	NA	SYNJ2BP-COX16,COX16
chr14:clu_15863_NA	Not enough valid samples	NA	NA	NA	NA	SYNJ2BP-COX16,SYNJ2BP
chr14:clu_15864_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	SYNJ2BP-COX16,SYNJ2BP
chr14:clu_15865_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15866_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MED6
chr14:clu_15867_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MED6
chr14:clu_15868_NA	Success	1.1460314318831	2	0.317895860708995	0.710070905580188	MAP3K9
chr14:clu_15869_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MAP3K9
chr14:clu_15870_NA	Success	0.648454092361362	2	0.52285343543704	0.81206805780917	MAP3K9
chr14:clu_15871_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15872_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15873_NA	Success	10.3574444909536	9	0.0139783127369687	0.274542810253236	PCNX
chr14:clu_15874_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15875_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15876_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15877_NA	Not enough valid samples	NA	NA	NA	NA	PCNX
chr14:clu_15878_NA	Not enough valid samples	NA	NA	NA	NA	PCNX
chr14:clu_15879_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15880_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PCNX
chr14:clu_15881_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15882_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15883_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15884_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15885_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15886_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr14:clu_15887_NA	Success	0.642707475362727	2	0.525866723691204	0.813484085463614	SIPA1L1
chr14:clu_15888_NA	Success	1.78242111617715	3	0.312449164693596	0.706042056278104	SIPA1L1
chr14:clu_15889_NA	Success	7.89806376998968	6	0.0148910862394505	0.280018769291293	SIPA1L1
chr14:clu_15890_NA	Success	1.61882516491278	2	0.198131334046114	0.626768517945905	SIPA1L1
chr14:clu_15891_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_15892_NA	Success	1.18486568738494	1	0.123708337041818	0.549271038106079	SIPA1L1
chr14:clu_15893_NA	Success	7.88931310913267	5	0.00750536518341266	0.204288515124235	SIPA1L1
chr14:clu_15894_NA	Success	0.0224099220032201	1	0.832335644812012	0.935742645148291	SIPA1L1
chr14:clu_15895_NA	Success	0.667928308233058	2	0.512769779095676	0.808754408661693	SIPA1L1
chr14:clu_15896_NA	Success	0.00212823541309604	1	0.947981612465578	0.979413817697539	SIPA1L1
chr14:clu_15897_NA	Success	0.619809856907978	2	0.538046733738519	0.817328768159096	SIPA1L1
chr14:clu_15898_NA	Success	1.26306709355323	1	0.111974243665839	0.533504110552569	SIPA1L1
chr14:clu_15899_NA	Success	0.00275587561782231	1	0.940818487766124	0.977551076814419	SIPA1L1
chr14:clu_15900_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SIPA1L1
chr14:clu_15901_NA	Success	4.08738912497301	3	0.0425343486375011	0.406737790297554	RGS6
chr14:clu_15902_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15903_NA	Not enough valid samples	NA	NA	NA	NA	RGS6
chr14:clu_15904_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RGS6
chr14:clu_15905_NA	Success	0.394685370109215	1	0.374290467666063	0.740942454076462	RGS6
chr14:clu_15906_NA	Success	0.812137445823055	2	0.443908221689683	0.781060415307995	RGS6
chr14:clu_15907_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RGS6
chr14:clu_15908_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RGS6
chr14:clu_15909_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DPF3
chr14:clu_15910_NA	Success	0.355839123952876	2	0.700585318566502	0.888849851965569	RBM25
chr14:clu_15911_NA	Success	2.50602643494767	2	0.0815918063078591	0.491647823523291	RBM25
chr14:clu_15912_NA	Success	0.906352739619479	2	0.403995015236962	0.758549142182128	RBM25
chr14:clu_15913_NA	Success	0.130039219982336	2	0.878060992708608	0.952842484760588	RBM25
chr14:clu_15914_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_15915_NA	Success	0.257420804671483	1	0.473050438212689	0.791533664864948	RBM25
chr14:clu_15916_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RBM25
chr14:clu_15917_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RBM25
chr14:clu_15918_NA	Success	0.124965638278127	1	0.617123471892808	0.855857151216053	RBM25
chr14:clu_15919_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PSEN1
chr14:clu_15920_NA	Success	2.08001570081944	2	0.124928250707276	0.550026211649501	PSEN1
chr14:clu_15921_NA	Not enough valid samples	NA	NA	NA	NA	PSEN1
chr14:clu_15922_NA	Success	2.65707698826657	1	0.0211528623971818	0.323235173037491	NUMB
chr14:clu_15923_NA	Success	1.84573539001963	3	0.296764777284366	0.69907863344808	NUMB
chr14:clu_15924_NA	Success	6.05831461580601	3	0.00699413153729098	0.196063752550798	NUMB,HEATR4
chr14:clu_15925_NA	Success	3.04477571732923	7	0.529332735242101	0.813848181317203	HEATR4
chr14:clu_15926_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15927_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HEATR4
chr14:clu_15928_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HEATR4
chr14:clu_15929_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	HEATR4
chr14:clu_15930_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15931_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DNAL1
chr14:clu_15932_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PTGR2
chr14:clu_15933_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PTGR2
chr14:clu_15934_NA	Not enough valid samples	NA	NA	NA	NA	PTGR2
chr14:clu_15935_NA	Not enough valid samples	NA	NA	NA	NA	ZNF410
chr14:clu_15936_NA	Not enough valid samples	NA	NA	NA	NA	ZNF410
chr14:clu_15937_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZNF410
chr14:clu_15938_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FAM161B
chr14:clu_15939_NA	Success	1.83476337942068	1	0.0554159165657206	0.441413548659431	FAM161B
chr14:clu_15940_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	COQ6
chr14:clu_15941_NA	Success	0.718262001180562	1	0.230702661674774	0.651984196373426	COQ6
chr14:clu_15942_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ENTPD5
chr14:clu_15943_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	COQ6
chr14:clu_15944_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CCDC176
chr14:clu_15945_NA	Not enough valid samples	NA	NA	NA	NA	CCDC176
chr14:clu_15946_NA	Not enough valid samples	NA	NA	NA	NA	CCDC176
chr14:clu_15947_NA	Success	1.66016262398068	1	0.0684282902231555	0.46779737703252	CCDC176
chr14:clu_15948_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ABCD4
chr14:clu_15949_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ABCD4
chr14:clu_15950_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ABCD4
chr14:clu_15951_NA	Not enough valid samples	NA	NA	NA	NA	ABCD4
chr14:clu_15952_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AREL1
chr14:clu_15953_NA	Success	1.55322305895075	1	0.0779829471839251	0.487084503666377	AREL1
chr14:clu_15954_NA	Not enough valid samples	NA	NA	NA	NA	AREL1
chr14:clu_15955_NA	Not enough valid samples	NA	NA	NA	NA	AREL1
chr14:clu_15956_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AREL1
chr14:clu_15957_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AREL1
chr14:clu_15958_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FCF1
chr14:clu_15959_NA	Success	2.79433581274566	2	0.0611554795364075	0.453231046195818	YLPM1
chr14:clu_15960_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15961_NA	Success	0.0489496832219629	1	0.754365189130714	0.907737232132561	YLPM1
chr14:clu_15962_NA	Success	1.67224366252424	4	0.501914636811049	0.80424843015576	YLPM1
chr14:clu_15963_NA	Success	0.0777973282636992	1	0.693245228982965	0.885387337683338	DLST
chr14:clu_15964_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	DLST
chr14:clu_15965_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RPS6KL1
chr14:clu_15966_NA	Success	0.693995077632451	3	0.708352304835764	0.891942600722911	RPS6KL1
chr14:clu_15967_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15968_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15969_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MLH3
chr14:clu_15970_NA	Success	6.18101864444958	4	0.0148526437545973	0.280018769291293	MLH3
chr14:clu_15971_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MLH3
chr14:clu_15972_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ACYP1
chr14:clu_15973_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ZC2HC1C
chr14:clu_15974_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15975_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NEK9
chr14:clu_15976_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEK9
chr14:clu_15977_NA	Success	1.10003586870101	1	0.138004314994748	0.568324356680964	NEK9
chr14:clu_15978_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEK9
chr14:clu_15979_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NEK9
chr14:clu_15980_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_15981_NA	Success	3.64755645362277	4	0.121090767982765	0.549271038106079	NEK9
chr14:clu_15982_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TMED10
chr14:clu_15983_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	C14orf1
chr14:clu_15984_NA	Success	0.617958271261898	1	0.266259489417342	0.685022893310846	TTLL5
chr14:clu_15985_NA	Success	0.796922502597226	3	0.660786227463684	0.873036721633627	TTLL5
chr14:clu_15986_NA	Success	0.333489112585966	1	0.414107123156994	0.764869765984268	TTLL5
chr14:clu_15987_NA	Success	2.70743338183215	2	0.0667078006361459	0.465646843731424	TTLL5
chr14:clu_15988_NA	Success	1.18738342362462	1	0.123310006992974	0.549271038106079	TTLL5
chr14:clu_15989_NA	Success	0.431434391518223	2	0.649576678879876	0.867447640042045	TTLL5
chr14:clu_15990_NA	Success	0.299506118570704	1	0.438955150717234	0.778065889950592	TTLL5
chr14:clu_15991_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTLL5
chr14:clu_15992_NA	Success	0.00644562143884286	1	0.909602762420804	0.963592328725921	TTLL5
chr14:clu_15993_NA	Success	2.61728631714504	3	0.155404660352626	0.585046736982655	TTLL5
chr14:clu_15994_NA	Success	5.11279039191481	5	0.0690900853167341	0.469937418266287	TTLL5
chr14:clu_15995_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTLL5
chr14:clu_15996_NA	Success	1.39270715481973	3	0.425906613135915	0.770197525274753	TTLL5,IFT43
chr14:clu_15997_NA	Success	6.48777280353002	3	0.0046897890140978	0.161409043597534	IFT43
chr14:clu_15998_NA	Success	0.792630605391423	5	0.903025930789462	0.961345393521693	GPATCH2L
chr14:clu_15999_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GPATCH2L
chr14:clu_16000_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VASH1
chr14:clu_16001_NA	Success	0.0348763771865208	1	0.791697109925146	0.920087990127447	ANGEL1
chr14:clu_16002_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16003_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CIPC
chr14:clu_16004_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CIPC
chr14:clu_16005_NA	Success	1.25837780969133	1	0.112642122900246	0.534100010306814	ZDHHC22
chr14:clu_16006_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM63C
chr14:clu_16007_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM63C
chr14:clu_16008_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM63C
chr14:clu_16009_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TMEM63C
chr14:clu_16010_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POMT2
chr14:clu_16011_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_16012_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	POMT2
chr14:clu_16013_NA	Success	4.95334689319156	4	0.0420290880111357	0.40482919880754	POMT2
chr14:clu_16014_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	POMT2
chr14:clu_16015_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NOXRED1
chr14:clu_16016_NA	Not enough valid samples	NA	NA	NA	NA	VIPAS39
chr14:clu_16017_NA	Success	1.47396726569855	2	0.229015116726941	0.651549901862969	VIPAS39
chr14:clu_16018_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VIPAS39
chr14:clu_16019_NA	Success	0.0197090314819661	1	0.842622727332415	0.939408005511429	VIPAS39
chr14:clu_16020_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	VIPAS39
chr14:clu_16021_NA	Success	0.346264519716485	1	0.405305490519004	0.759377304793688	AHSA1
chr14:clu_16022_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AHSA1
chr14:clu_16023_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SPTLC2
chr14:clu_16024_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ALKBH1
chr14:clu_16025_NA	Not enough valid samples	NA	NA	NA	NA	SLIRP
chr14:clu_16026_NA	Success	2.16832395974245	2	0.114369143651719	0.537291285603341	SNW1
chr14:clu_16027_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ADCK1
chr14:clu_16028_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRXN3
chr14:clu_16029_NA	Success	0.290554090980322	1	0.445878276537	0.781063158439361	NRXN3
chr14:clu_16030_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_16031_NA	Success	0.711674610860769	2	0.490821573727824	0.798580091303664	NRXN3
chr14:clu_16032_NA	Success	6.1645436611075	2	0.00210267767929012	0.0977082114394454	NRXN3
chr14:clu_16033_NA	Success	1.4658896700962	2	0.230872499721911	0.651984196373426	NRXN3
chr14:clu_16034_NA	Success	1.90342270131123	5	0.577547091013448	0.835961462205194	NRXN3
chr14:clu_16035_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_16036_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_16037_NA	Success	2.59993842428139	4	0.26739677276417	0.686014699784924	CEP128
chr14:clu_16038_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP128
chr14:clu_16039_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CEP128
chr14:clu_16040_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CEP128
chr14:clu_16041_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16042_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16043_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16044_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TSHR
chr14:clu_16045_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16046_NA	Success	0.648828026445017	2	0.522657959266654	0.81206805780917	GTF2A1
chr14:clu_16047_NA	Success	0.838731198385183	1	0.195261981791476	0.623050604441962	GTF2A1
chr14:clu_16048_NA	Success	0.067701491538287	1	0.712894527519296	0.893432695020701	SEL1L
chr14:clu_16049_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16050_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16051_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16052_NA	Success	0.471617071218986	2	0.623992411827822	0.858395986350647	FLRT2
chr14:clu_16053_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16054_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16055_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16056_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16057_NA	Success	2.04094263523234	3	0.252756677439761	0.672366654066161	NA
chr14:clu_16058_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_16059_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16060_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr14:clu_16061_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16062_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	KCNK10
chr14:clu_16063_NA	Not enough valid samples	NA	NA	NA	NA	SPATA7
chr14:clu_16064_NA	Success	2.74174926396608	4	0.241183784640541	0.662113284977813	SPATA7
chr14:clu_16065_NA	Success	2.54371909304905	3	0.165505321571175	0.597715495263879	ZC3H14
chr14:clu_16066_NA	Success	0.0315024114342748	1	0.801808221589522	0.923771902380781	ZC3H14
chr14:clu_16067_NA	Success	0.761159811285594	1	0.217268802422945	0.642771713735332	ZC3H14
chr14:clu_16068_NA	Success	0.461774963209905	3	0.81974127005116	0.932657044754754	ZC3H14
chr14:clu_16069_NA	Success	2.21322780000264	7	0.729554205885426	0.898288206762796	ZC3H14
chr14:clu_16070_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16071_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16072_NA	Success	0.0468378476442126	1	0.759555266529402	0.90994914986846	ZC3H14
chr14:clu_16073_NA	Success	1.44367596745224	1	0.0892775550183133	0.502996863773304	ZC3H14
chr14:clu_16074_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML5
chr14:clu_16075_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML5
chr14:clu_16076_NA	Success	0.422877144409611	1	0.357756210230378	0.736620338695932	EML5
chr14:clu_16077_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	EML5
chr14:clu_16078_NA	Success	0.212389433424562	2	0.808649721009157	0.926532894988414	EML5
chr14:clu_16079_NA	Not enough valid samples	NA	NA	NA	NA	EML5
chr14:clu_16080_NA	Not enough valid samples	NA	NA	NA	NA	EML5
chr14:clu_16081_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	EML5
chr14:clu_16082_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TTC8
chr14:clu_16083_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TTC8
chr14:clu_16084_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TTC8
chr14:clu_16085_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr14:clu_16086_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	FOXN3
chr14:clu_16087_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	FOXN3
chr14:clu_16088_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TDP1
chr14:clu_16089_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TDP1
chr14:clu_16090_NA	Not enough valid samples	NA	NA	NA	NA	TDP1
chr14:clu_16091_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NRDE2
chr14:clu_16092_NA	Success	3.3316958761813	2	0.0357324558346467	0.386795398100961	NRDE2
chr14:clu_16093_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NRDE2
chr14:clu_16094_NA	Success	0.225604166118373	1	0.501761694533088	0.80424843015576	CALM1
chr14:clu_16095_NA	Success	4.66593062756067	4	0.0533191636188412	0.441413548659431	TTC7B
chr14:clu_16096_NA	Success	0.73033723941478	2	0.481746498785184	0.795305976082351	TTC7B
chr14:clu_16097_NA	Success	0.0500584659305332	1	0.751689356355177	0.907203089081013	TTC7B
chr14:clu_16098_NA	Success	0.75659969729054	2	0.469259341089044	0.789574190617286	TTC7B
chr14:clu_16099_NA	Not enough valid samples	NA	NA	NA	NA	TTC7B
chr14:clu_16100_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RPS6KA5
chr14:clu_16101_NA	Not enough valid samples	NA	NA	NA	NA	RPS6KA5
